Population,HPIQuartile,Vaccinated
1524,4,1284.7228667964323
3453,4,2902.894745264997
3404,4,2865.5647227534505
3088,4,2653.4475116466715
1886,4,1604.5702613602334
3411,4,2904.518301905066
1659,4,1331.3240800214999
2535,4,2156.3263348968353
2987,4,2409.5471547903185
3232,4,2602.7785587940366
4112,3,3193.5160540974207
4584,3,3384.632840005698
1215,0,901.7666971891884
4825,1,3144.4356941925025
8353,0,7001.5689151015185
4272,2,3904.2002250959586
4215,4,3396.129351331685
3745,4,2874.25156963569
2628,3,1645.7016935185452
3441,4,2582.2598464586563
4415,4,3711.7108677226565
3016,4,2556.4613477409275
2545,4,2171.8263615562023
5589,2,4749.375589482928
3544,3,2729.269801114047
2812,4,2392.2796094475316
1926,4,1607.8990538806179
1487,4,1265.748821786708
3500,3,2260.9916076208856
2045,3,1378.7348018795878
1568,4,1329.085894250078
2683,4,2169.252753111088
2366,4,1916.7637186174757
3039,3,2590.684083626511
5657,4,4770.7545426691
4494,4,3703.777849766896
3411,4,2897.3773246672713
3889,4,3192.861601448908
4657,4,3762.411394589991
4390,3,3120.0162587895793
4644,4,3742.3548281772755
4387,4,3536.7439990284565
4353,4,3564.4788529140124
2762,3,2047.0321230014624
4386,4,3599.6126489479047
5872,4,4995.509247616994
6146,4,5164.912594257143
6765,4,5670.123033957348
4119,4,3510.036895655958
3044,4,2588.307677975936
3114,4,2637.657968390555
3691,2,2671.3476498347445
6166,4,4795.951184041518
2207,4,1717.5216159751385
6661,4,5635.425626706342
3535,4,2819.2267376670907
1951,4,1555.6726629390068
5690,2,3488.435897326343
5592,4,4475.259274964793
3588,4,2872.892827663505
5090,4,4008.944614707702
4377,3,3235.617583680126
2563,3,2070.7498247975727
2974,3,2019.970200808517
5280,3,4100.214316413846
3528,4,2889.6584944298875
3827,3,2484.70926564753
4279,4,3468.7038269953114
5421,3,4107.864413653456
4524,3,3394.4090575833084
4196,3,3147.2648706673
6405,3,4797.721604329634
2349,4,1934.1890553436742
3553,4,3015.411861968592
3607,3,2831.7228235810503
3753,3,2951.8165128613005
3222,2,2481.291512094957
3497,3,2790.907306689429
6493,2,5366.886725306939
6452,4,5333.00774617067
5971,4,4505.757255943764
4117,3,2699.2827768676984
5618,3,3979.806191491737
2940,3,2000.4310669018148
6840,3,5483.063230799717
5882,2,4325.769312670191
4460,2,3056.640379614475
4969,4,4206.90338027365
6008,4,5005.918968910161
4782,3,3460.359571109984
3916,4,3061.157878439061
4144,3,2619.4890452840104
4209,2,3610.0479534096417
3444,2,2769.400145663594
4493,2,3193.224441169879
4897,2,3476.951468999469
4265,2,2999.9428384235853
5045,3,3793.205147509216
4824,3,3190.7388628088097
4287,3,3143.58852803174
4931,3,3809.9909203749658
3482,2,2689.2663451904996
6466,3,4990.908380717394
6608,3,4846.040819925928
2509,4,2103.3030542670504
4212,2,3077.1769711035236
5551,3,4184.015144228265
4154,2,3317.3156962465155
3036,3,2252.6912387764382
3668,3,2974.9151568256357
6072,3,4647.407333072249
3240,3,2447.7621258232975
6000,3,4409.589632085211
3965,2,2764.7075349371025
