dist,collegegrad,shares,market_ids,prices
0.86488008,0.27200001,0.74818099,90248,0
1.3714676,0.23899999,0.800946,90249,0
0.95961869,0.22499999,0.73157501,90250,0
0.7863605,0.75700003,0.84828699,90254,0
0.8736887,0.071000002,0.72246301,90255,0
0.28221065,0.227,0.75515401,90260,0
0.32168567,0.077,0.70765299,90262,0
5.3294888,0.66600001,0.59587598,90265,0
0.54711014,0.75199997,0.87931597,90266,0
0.41368729,0.057,0.71472001,90270,0
3.9621978,0.78299999,0.92333102,90272,0
50.256241,0.72500002,0.899692,90274,0
1.2197107,0.676,0.83257502,90275,0
0.55785036,0.625,0.84777099,90277,0
0.49250412,0.583,0.87668198,90278,0
0.95248723,0.093999997,0.76646203,90280,0
6.4787693,0.70899999,0.82440501,90290,0
1.0570714,0.66399997,0.80941898,90291,0
0.74053693,0.70499998,0.90268898,90292,0
0.9761079,0.72399998,0.74993902,90293,0
0.9786604,0.142,0.70582801,90301,0
0.47353643,0.294,0.67052698,90302,0
0.25270545,0.14300001,0.75558698,90303,0
0.99436355,0.103,0.78682399,90304,0
1.3426083,0.331,0.69735402,90305,0
1.1343824,0.699,0.94999999,90401,0
1.4089518,0.77200001,0.86371797,90402,0
0.359301,0.74599999,0.89046502,90403,0
0.48813894,0.54799998,0.78863603,90404,0
0.89421922,0.67799997,0.86681402,90405,0
0.095887601,0.34999999,0.81501001,90501,0
0.36746907,0.35699999,0.82739902,90502,0
0.68144858,0.546,0.86967999,90503,0
1.9736966,0.42199999,0.80206001,90504,0
0.26176307,0.56599998,0.84904802,90505,0
1.1655935,0.0,0.94999999,90506,0
3.1610706,0.27700001,0.75424802,90601,0
0.38052663,0.192,0.71899098,90602,0
0.66776556,0.329,0.73471099,90603,0
0.6881538,0.189,0.68340898,90604,0
1.1844705,0.186,0.766559,90605,0
1.0778713,0.15099999,0.737611,90606,0
0.79586285,0.31,0.77894199,90620,0
0.57701153,0.29899999,0.77533001,90621,0
0.49091899,0.477,0.82503498,90623,0
0.48184714,0.42500001,0.80506301,90630,0
0.97981972,0.30899999,0.73665398,90631,0
0.42366061,0.324,0.726174,90638,0
0.14513837,0.198,0.77188098,90640,0
0.59029871,0.18700001,0.75728202,90650,0
0.7681284,0.12899999,0.78011799,90660,0
1.3972055,0.19400001,0.77980202,90670,0
0.6957522,0.20200001,0.75651002,90680,0
0.28598121,0.28200001,0.81900698,90701,0
0.78701597,0.52700001,0.88236499,90703,0
40.009804,0.23800001,0.66251302,90704,0
0.56686586,0.185,0.71445101,90706,0
0.68715852,0.26899999,0.71264797,90710,0
1.2898796,0.32800001,0.79816502,90712,0
0.91613591,0.31,0.76900202,90713,0
0.80969304,0.27900001,0.75543702,90715,0
0.23751567,0.104,0.71408099,90716,0
0.12695748,0.35499999,0.75932097,90717,0
1.2427803,0.52999997,0.77074802,90720,0
0.97963679,0.113,0.71159601,90723,0
1.8548707,0.227,0.77680802,90731,0
1.7813793,0.40700001,0.69175899,90732,0
2.3979454,0.49000001,0.81873202,90740,0
2.4654958,0.46399999,0.94999999,90742,0
0.22200777,0.085000001,0.67735302,90744,0
1.4458019,0.273,0.85046202,90745,0
1.3205754,0.338,0.74060601,90746,0
0.59971017,0.46399999,0.75381601,90755,0
0.98172164,0.412,0.74373901,90802,0
1.3386837,0.55299997,0.76377201,90803,0
0.95022821,0.28799999,0.69207299,90804,0
0.60958731,0.134,0.68072802,90805,0
0.77085423,0.17399999,0.73166102,90806,0
0.94237167,0.414,0.796229,90807,0
0.62970942,0.42899999,0.78955901,90808,0
2.6811533,0.17,0.73558199,90810,0
0.91821772,0.126,0.63785303,90813,0
1.1608778,0.52100003,0.735484,90814,0
1.0924232,0.50300002,0.76225501,90815,0
0.29496133,0.0,0.050000001,90831,0
3.2443042,0.43900001,0.78138697,91001,0
0.37866193,0.51700002,0.85915703,91006,0
0.46347785,0.53100002,0.84966302,91007,0
1.2051141,0.52399999,0.89265001,91008,0
1.169,0.27500001,0.79513597,91010,0
0.53915513,0.75800002,0.909868,91011,0
0.94626033,0.37,0.77015001,91016,0
0.8753351,0.38499999,0.72870803,91020,0
2.7446735,0.60799998,0.84826797,91024,0
0.8009358,0.67500001,0.91842699,91030,0
1.2712865,0.34900001,0.72524703,91040,0
8.9485016,0.27000001,0.69189203,91042,0
0.12819874,0.29699999,0.82911402,91046,0
0.80022848,0.61699998,0.804573,91101,0
2.2046745,0.35600001,0.79973102,91103,0
0.089358687,0.44499999,0.76346499,91104,0
0.45045403,0.69300002,0.94999999,91105,0
0.18086337,0.602,0.81293702,91106,0
5.5769329,0.54900002,0.897286,91107,0
0.96973491,0.77600002,0.87862098,91108,0
0.93473411,0.32800001,0.652098,91201,0
1.9751483,0.45100001,0.697092,91202,0
0.31266132,0.373,0.73484999,91203,0
0.14178015,0.278,0.625835,91204,0
1.4264855,0.34299999,0.64466101,91205,0
